My Hero Academia 3,All Might,Main,Miyake, Kenta
My Hero Academia 3,Bakugou, Katsuki,Main,Okamoto, Nobuhiko
My Hero Academia 3,Midoriya, Izuku,Main,Yamashita, Daiki
My Hero Academia 3,Aizawa, Shouta,Supporting,Suwabe, Junichi
My Hero Academia 3,Akaguro, Chizome,Supporting,Inoue, Go
My Hero Academia 3,All For One,Supporting,Ootsuka, Akio
My Hero Academia 3,Aoyama, Yuuga,Supporting,Kuwano, Kousuke
My Hero Academia 3,Ashido, Mina,Supporting,Kitamura, Eri
My Hero Academia 3,Asui, Tsuyu,Supporting,Yuuki, Aoi
My Hero Academia 3,Bubaigawara, Jin,Supporting,Endou, Daichi
My Hero Academia 3,Chatora, Yawara,Supporting,Ogami, Shinnosuke
My Hero Academia 3,Dabi,Supporting,Shimono, Hiro
My Hero Academia 3,Giran,Supporting,Ogino, Seiro
My Hero Academia 3,Hagakure, Tooru,Supporting,Nazuka, Kaori
My Hero Academia 3,Hikiishi, Kenji,Supporting,Inoue, Satoru
My Hero Academia 3,Hiryuu, Rin,Supporting,Kuwano, Kousuke
My Hero Academia 3,Honenuki, Juuzou,Supporting,Reid, Dallas
My Hero Academia 3,Iguchi, Shuuichi,Supporting,Iwasaki, Ryou
My Hero Academia 3,Iida, Tenya,Supporting,Ishikawa, Kaito
My Hero Academia 3,Izumi, Kouta,Supporting,Yamazaki, Michiru
My Hero Academia 3,Jirou, Kyouka,Supporting,Shindou, Kei
My Hero Academia 3,Kaminari, Denki,Supporting,Hatanaka, Tasuku
My Hero Academia 3,Kan, Sekijirou,Supporting,Matsuda, Shuuhei
My Hero Academia 3,Kendou, Itsuka,Supporting,Saxton, Jad
My Hero Academia 3,Kirishima, Eijirou,Supporting,Masuda, Toshiki
My Hero Academia 3,Kouda, Kouji,Supporting,Ayres, Greg
My Hero Academia 3,Kurogiri,Supporting,Fujiwara, Takahiro
My Hero Academia 3,Mineta, Minoru,Supporting,Hirohashi, Ryou
My Hero Academia 3,Monoma, Neito,Supporting,Amasaki, Kouhei
My Hero Academia 3,Moonfish,Supporting,Matsuda, Shuuhei
My Hero Academia 3,Muscular,Supporting,Takaguchi, Kousuke
My Hero Academia 3,Mustard,Supporting,Furushima, Kiyotaka
My Hero Academia 3,Ojiro, Mashirao,Supporting,Miyoshi, Kousuke
My Hero Academia 3,Sako, Atsuhiro,Supporting,Mogami, Tsuguo
My Hero Academia 3,Satou, Rikidou,Supporting,Nara, Tooru
My Hero Academia 3,Sero, Hanta,Supporting,Furushima, Kiyotaka
My Hero Academia 3,Shigaraki, Tomura,Supporting,Uchiyama, Kouki
My Hero Academia 3,Shinsou, Hitoshi,Supporting,Hatano, Wataru
My Hero Academia 3,Shiozaki, Ibara,Supporting,Masaka, Miho
My Hero Academia 3,Shiretoko, Tomoko,Supporting,Ballard, Tia
My Hero Academia 3,Shouda, Nirengeki,Supporting,Reid, Dallas
My Hero Academia 3,Shouji, Mezou,Supporting,Nishida, Masakazu
My Hero Academia 3,Sousaki, Shino,Supporting,Harris, Jill
My Hero Academia 3,Tetsutetsu, Tetsutetsu,Supporting,Okino, Kouji
My Hero Academia 3,Todoroki, Shouto,Supporting,Kaji, Yuki
My Hero Academia 3,Toga, Himiko,Supporting,Clark, Leah
My Hero Academia 3,Tokoyami, Fumikage,Supporting,Hosoya, Yoshimasa
My Hero Academia 3,Tsuburaba, Kousei,Supporting,Dismuke, Aaron
My Hero Academia 3,Tsuchikawa, Ryuuko,Supporting,Machiyama, Serina
My Hero Academia 3,Tsukauchi, Naomasa,Supporting,Kawashima, Tokuyoshi
My Hero Academia 3,Uraraka, Ochako,Supporting,Sakura, Ayane
My Hero Academia 3,Yamada, Hizashi,Supporting,Trosko, Dave
My Hero Academia 3,Yaoyorozu, Momo,Supporting,Inoue, Marina
Steins;Gate 0,Amane, Suzuha,Main,Tamura, Yukari
Steins;Gate 0,Hashida, Itaru,Main,Seki, Tomokazu
Steins;Gate 0,Hiyajou, Maho,Main,Yahagi, Sayuri
Steins;Gate 0,Makise, Kurisu,Main,Imai, Asami
Steins;Gate 0,Okabe, Rintarou,Main,Miyano, Mamoru
Steins;Gate 0,Shiina, Mayuri,Main,Hanazawa, Kana
Steins;Gate 0,Akiha, Rumiho,Supporting,Momoi, Haruko
Steins;Gate 0,Amane, Yuki,Supporting,Tamura, Yukari
Steins;Gate 0,Kiryuu, Moeka,Supporting,Gotou, Saori
Steins;Gate 0,Kurushima, Kaede,Supporting,Kino, Hina
Steins;Gate 0,Leskinen, Alexis,Supporting,Ueda, Youji
Steins;Gate 0,Nakase, Katsumi,Supporting,Honda, Mariko
Steins;Gate 0,Shiina, Kagari,Supporting,Han, Megumi
Steins;Gate 0,Tennouji, Nae,Supporting,Yamamoto, Ayano
Steins;Gate 0,Tennouji, Yuugo,Supporting,Sabat, Christopher
Steins;Gate 0,Urushibara, Ruka,Supporting,Kobayashi, Yuu
Tokyo Ghoul:re,Mutsuki, Tooru,Main,Fujiwara, Natsumi
Tokyo Ghoul:re,Sasaki, Haise,Main,Hanae, Natsuki
Tokyo Ghoul:re,Shirazu, Ginshi ,Main,Uchida, Yuuma
Tokyo Ghoul:re,Urie, Kuki,Main,Ishikawa, Kaito
Tokyo Ghoul:re,Yonebayashi, Saiko,Main,Sakura, Ayane
Tokyo Ghoul:re,Abe, Maiko,Supporting,Asano, Mayumi
Tokyo Ghoul:re,Akai, Tomonori ,Supporting,N/A
Tokyo Ghoul:re,Arima, Kishou ,Supporting,Namikawa, Daisuke
Tokyo Ghoul:re,Asachi, Waka ,Supporting,N/A
Tokyo Ghoul:re,Atou, Daisuke ,Supporting,N/A
Tokyo Ghoul:re,Big Madam,Supporting,Saito, Kimiko
Tokyo Ghoul:re,Eto,Supporting,Seidel, Lindsay
Tokyo Ghoul:re,Fueguchi, Hinami,Supporting,Morohoshi, Sumire
Tokyo Ghoul:re,Furuta, Nimura,Supporting,N/A
Tokyo Ghoul:re,Ganbo,Supporting,N/A
Tokyo Ghoul:re,Hanbee, Abara,Supporting,Nishida, Masakazu
Tokyo Ghoul:re,Hayashimura, Naoto ,Supporting,N/A
Tokyo Ghoul:re,Hirako, Take,Supporting,Kondou, Takayuki
Tokyo Ghoul:re,Hoito, Roma,Supporting,Ballard, Tia
Tokyo Ghoul:re,Hori, Chie,Supporting,Han, Megumi
Tokyo Ghoul:re,Itou, Kuramoto,Supporting,Takahashi, Shinya
Tokyo Ghoul:re,Kaneki, Ken,Supporting,Hanae, Natsuki
Tokyo Ghoul:re,Kanou, Akihiro,Supporting,Stoddard, Mark
Tokyo Ghoul:re,Kijima, Shiki,Supporting,Tobita, Nobuo
Tokyo Ghoul:re,Kirishima, Touka,Supporting,Amamiya, Sora
Tokyo Ghoul:re,Kirishima, Ayato,Supporting,Kaji, Yuki
Tokyo Ghoul:re,Kobayashi, Akashi,Supporting,Uchino, Takaaki
Tokyo Ghoul:re,Kuroiwa, Takeomi,Supporting,Ishiya, Haruki
Tokyo Ghoul:re,Kuroiwa, Iwao,Supporting,Ootomo, Ryuuzaburou
Tokyo Ghoul:re,Kusakari, Miza,Supporting,Lauda, Brittany
Tokyo Ghoul:re,Mado, Akira,Supporting,Seto, Asami
Tokyo Ghoul:re,Marude, Itsuki,Supporting,Ueda, Yuji
Tokyo Ghoul:re,Matsumae,Supporting,Shields, Julie
Tokyo Ghoul:re,Mayu,Supporting,Neves, Emily
Tokyo Ghoul:re,Michibata, Shinji,Supporting,N/A
Tokyo Ghoul:re,Naki,Supporting,Grelle, Josh
Tokyo Ghoul:re,Nico,Supporting,Bevins, Christopher
Tokyo Ghoul:re,Nishio, Nishiki,Supporting,Asanuma, Shintaro
Tokyo Ghoul:re,Ooshiba, Ryouta ,Supporting,N/A
Tokyo Ghoul:re,Porpora, Donato,Supporting,Inoue, Kazuhiko
Tokyo Ghoul:re,Saeki, Karao,Supporting,Tezuka, Hiromichi
Tokyo Ghoul:re,Satomi, Shion ,Supporting,N/A
Tokyo Ghoul:re,Shiba, Ryoutarou,Supporting,Volcano Ota
Tokyo Ghoul:re,Shibashi, Shunichi ,Supporting,N/A
Tokyo Ghoul:re,Shimoguchi, Nobu,Supporting,Hori, Soushirou
Tokyo Ghoul:re,Suzuya, Juuzou,Supporting,Whitehead, Maxey
Tokyo Ghoul:re,Takizawa, Seidou,Supporting,Solusod, Micah
Tokyo Ghoul:re,Toga, Miho,Supporting,N/A
Tokyo Ghoul:re,Tougi, Hina ,Supporting,N/A
Tokyo Ghoul:re,Tsukiyama, Shuu,Supporting,Miyano, Mamoru
Tokyo Ghoul:re,Tsukiyama, Mirumo,Supporting,Miyamoto, Mitsuru
Tokyo Ghoul:re,Uta,Supporting,Roberts, Aaron
Tokyo Ghoul:re,von Rosewald, Kanae,Supporting,Kobayashi, Yuu
Tokyo Ghoul:re,Washuu, Yoshitoki,Supporting,Sakuya, Shunsuke
Tokyo Ghoul:re,Washuu, Matsuri,Supporting,Kawahara, Yoshihisa
Tokyo Ghoul:re,Yomo, Renji,Supporting,N/A
Sword Art Online Alternative: Gun Gale Online,Asougi, Goushi,Main,Okitsu, Kazuyuki
Sword Art Online Alternative: Gun Gale Online,Kohiruimaki, Karen,Main,Kusunoki, Tomori
Sword Art Online Alternative: Gun Gale Online,Pitohui,Main,Hikasa, Yoko
Sword Art Online Alternative: Gun Gale Online,Shinohara, Miyu,Main,Akasaki, Chinatsu
Sword Art Online Alternative: Gun Gale Online,Annaka, Moe,Supporting,N/A
Sword Art Online Alternative: Gun Gale Online,Fujisawa, Kana,Supporting,N/A
Sword Art Online Alternative: Gun Gale Online,Kusunoki, Risa,Supporting,N/A
Sword Art Online Alternative: Gun Gale Online,Nitobe, Saki,Supporting,Asai, Ayaka
Sword Art Online Alternative: Gun Gale Online,Noguchi, Shiori,Supporting,N/A
Sword Art Online Alternative: Gun Gale Online,Shidrowa, Milana,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Nakiri, Erina,Main,Kanemoto, Hisako
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Tadokoro, Megumi,Main,Takahashi, Minami
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Yukihira, Souma,Main,Matsuoka, Yoshitsugu
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Aldini, Takumi,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Aldini, Isami,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Aoki, Daigo,Supporting,Yanagita, Junichi
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Arato, Hisako,Supporting,Oonishi, Saori
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Doujima, Gin,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Hayama, Akira,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Ibusaki, Shun,Supporting,Murata, Taishi
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Isshiki, Satoshi,Supporting,Sakurai, Takahiro
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Kinokuni, Nene,Supporting,Hanazawa, Kana
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Kobayashi, Rindou,Supporting,Itou, Shizuka
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Kuga, Terunori,Supporting,Kaji, Yuki
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Kurokiba, Ryou,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Marui, Zenji,Supporting,Kobayashi, Yuusuke
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Megishima, Tousuke,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Mimasaka, Subaru,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Mito, Ikumi,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Nakiri, Azami,Supporting,Hayami, Show
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Nakiri, Alice,Supporting,Akasaki, Chinatsu
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Nakiri, Senzaemon,Supporting,Ginga, Banjou
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Sadatsuka, Nao,Supporting,N/A
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Saitou, Soumei,Supporting,Konishi, Katsuyuki
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Sakaki, Ryouko,Supporting,Kayano, Ai
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Satou, Shouji,Supporting,Kawanishi, Kengo
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Tsukasa, Eishi,Supporting,Ishida, Akira
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Yoshino, Yuuki,Supporting,Uchida, Maaya
Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Yukihira, Jouichirou,Supporting,Koyama, Rikiya
High School DxD Hero,Argento, Asia,Main,Asakura, Azumi
High School DxD Hero,Gremory, Rias,Main,Hikasa, Yoko
High School DxD Hero,Himejima, Akeno,Main,Itou, Shizuka
High School DxD Hero,Hyoudou, Issei,Main,Kaji, Yuki
High School DxD Hero,Kiba, Yuuto,Main,Nojima, Kenji
High School DxD Hero,Quarta, Xenovia,Main,Taneda, Risa
High School DxD Hero,Rossweisse,Main,Kakuma, Ai
High School DxD Hero,Shidou, Irina,Main,Uchida, Maaya
High School DxD Hero,Toujou, Koneko,Main,Taketatsu, Ayana
High School DxD Hero,Vladi, Gasper,Main,Sakura, Ayane
High School DxD Hero,Azazel,Supporting,Koyama, Rikiya
High School DxD Hero,Bael, Sairaorg,Supporting,Nakamura, Yuuichi
High School DxD Hero,Beelzebub, Ajuka,Supporting,Jewell, Jerry
High School DxD Hero,Cao, Cao,Supporting,Toriumi, Kousuke
High School DxD Hero,Ddraig,Supporting,Sabat, Christopher
High School DxD Hero,Gremory, Venelana,Supporting,Takahashi, Mikako
High School DxD Hero,Gremory, Lord,Supporting,Hayami, Show
High School DxD Hero,Gremory, Millicas,Supporting,Krantz, Mikaela
High School DxD Hero,Katase,Supporting,Ogura, Yui
High School DxD Hero,Kiryuu, Aika,Supporting,Yamazaki, Haruka
High School DxD Hero,Kunou,Supporting,Tokui, Sora
High School DxD Hero,Leviathan, Serafall,Supporting,Ballard, Tia
High School DxD Hero,Lucifer, Sirzechs,Supporting,Suwabe, Junichi
High School DxD Hero,Lucifer, Vali,Supporting,Osaka, Ryota
High School DxD Hero,Matsuda,Supporting,Takumi, Yasuaki
High School DxD Hero,Motohama,Supporting,Nakakuni, Takurou
High School DxD Hero,Murayama,Supporting,Ishihara, Kaori
